country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,True,648,518,130,1000.0,0.7160417341704113,0.7176562317117261,0.84721936114223,0.7177806458942483,0.8783044888455408,0.9416464705624396,0.8866980755226993,0.6824993607365898,0.8372836045164126,0.7010438343919965,0.4630146849363572,0.6818296135508886,0.46489162191495403
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,420,336,84,1000.0,0.6512566418145639,0.6592285120301227,0.8129690425091674,0.6609186640782724,0.8995963205915901,0.9518200568866206,0.9059614206916498,0.48053807156894657,0.7194598737735083,0.5176225099701924,0.4578376738661738,0.7114897894935356,0.5062177205535556
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,True,432,345,87,100.0,0.5751653494672685,0.5769335123943825,0.7648631727536201,0.5850156730347342,0.9535534568936542,0.9781191510991373,0.956717073746897,0.6464753615459601,0.8046150316785775,0.6474053492031183,0.6368555853623741,0.7984905727562365,0.6375871947805826
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,True,420,336,84,1000.0,0.6915128726112872,0.6957738324205606,0.8346569921971827,0.6966522946236479,0.9406252929250974,0.9724936195001802,0.9457438399685613,0.528466359100894,0.7285228480563083,0.5307455401400749,0.6769091545350845,0.8254008692841299,0.6812865950149973
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,False,648,518,130,1000.0,0.5304381332391971,0.533112203069384,0.7340941948664429,0.538894286936611,0.7742627800622159,0.8847887714214281,0.7828511700334401,0.5963729954428567,0.7741041752195559,0.5992372740923488,0.2551246944109147,0.584039272439373,0.3411018717515122
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,False,648,518,130,1000.0,0.5300181751312664,0.5361013334168634,0.7367786720034084,0.5428428115191061,0.8062695182397369,0.9026735796935058,0.814819591476688,0.6394051773966529,0.8024483158909422,0.6439232996762094,0.37404790204422866,0.622240603633258,0.38718336880988125
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,True,648,518,130,100.0,0.6927964405440756,0.6954114943185115,0.8401876474777842,0.7059152829742533,0.9671443300386956,0.9843692571026345,0.9689828343287924,0.7493224931703104,0.8841016613017227,0.781635747516466,0.6814739413981842,0.8257868388696145,0.6819239032502706
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,False,432,345,87,1000.0,0.5031119705885752,0.5101719431622724,0.7144634410988716,0.5104580086668408,0.7694316198598554,0.8828363834513788,0.77940007994551,0.47913195407435394,0.6940659543570746,0.4817275489975968,0.38558351963663007,0.6297986575519833,0.3966463490542803
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,True,648,518,130,100.0,0.6474244337205806,0.6499364955194918,0.8167065304373301,0.6670095568589816,0.9584002832836991,0.9805649681881808,0.9615076568378881,0.6885101533622934,0.8438838679761573,0.7121399826304006,0.5944557278529359,0.7784051326865096,0.6059145505927026
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,420,336,84,1000.0,0.6116302442890832,0.6214338848762129,0.7908826906679038,0.6254954303981033,0.877089304112436,0.9395524845063998,0.8827588711421487,0.45281252181429443,0.7065291442854702,0.49918343172475876,0.42998886356092036,0.7001607174847613,0.4902250303087757
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,True,648,518,130,100.0,0.6244258931703622,0.6277234154846043,0.8059181909410966,0.6495041304897698,0.9642999569289035,0.9831386219676359,0.9665615500044221,0.6420157377204275,0.836902395529024,0.7004056196422189,0.590068969675533,0.7693133743549088,0.591843067961336
