,district,year,yield_mt,log_yield,district_yield_mean,demean_yield,k-fold_prediction,k-fold_district_prediction_mean,k-fold_demean_prediction,logo_prediction,logo_district_prediction_mean,logo_demean_prediction
322,Mungwi,2020,2.935287574,0.5949764742396699,0.6116878051625724,-0.016711330922902445,0.5693453075654803,0.6069270248480553,-0.03758171728257498,0.6308157067517147,0.6005435591232459,0.03027214762846886
323,Mungwi,2021,3.106472906,0.6134689617515442,0.6116878051625724,0.0017811565889718217,0.6117033573996241,0.6069270248480553,0.00477633255156884,0.4807456360220032,0.6005435591232459,-0.11979792310124265
324,Mwense,2016,2.8140585,0.5813873499665023,0.5347125254774863,0.046674824489016054,0.5686351863885297,0.5434240302408292,0.02521115614770053,0.4920434904627178,0.5960891105713925,-0.10404562010867469
325,Mwense,2017,2.5432405,0.549400631384287,0.5347125254774863,0.014688105906800697,0.5657686625460179,0.5434240302408292,0.022344632305188683,0.6619015875519908,0.5960891105713925,0.06581247698059833
326,Mwense,2018,2.4502552,0.5378512190885808,0.5347125254774863,0.003138693611094534,0.5629222715584113,0.5434240302408292,0.019498241317582155,0.7811047976454272,0.5960891105713925,0.1850156870740347
327,Mwense,2019,2.481880648,0.5418138802783324,0.5347125254774863,0.007101354800846171,0.5300643897311063,0.5434240302408292,-0.013359640509722936,0.534969049113035,0.5960891105713925,-0.061120061458357466
328,Mwense,2020,1.776599432,0.44351323048127134,0.5347125254774863,-0.09119929499621493,0.47382951577567906,0.5434240302408292,-0.06959451446515014,0.6737475815012932,0.5960891105713925,0.07765847092990075
329,Mwense,2021,2.583511823,0.554308841665944,0.5347125254774863,0.019596316188457696,0.5593241554452304,0.5434240302408292,0.015900125204401205,0.43276815715389116,0.5960891105713925,-0.1633209534175013
330,Mwinilunga,2016,3.6162107,0.6642856233190315,0.6450237150591337,0.01926190825989782,0.6260556474160883,0.6227124783855288,0.003343169030559534,0.6002853981495133,0.5932392855587171,0.0070461125907962385
331,Mwinilunga,2017,3.261337,0.6295458809390245,0.6450237150591337,-0.015477834120109168,0.6290282895116566,0.6227124783855288,0.006315811126127779,0.6536903597719089,0.5932392855587171,0.06045107421319185
332,Mwinilunga,2018,3.3210003,0.6355842964635884,0.6450237150591337,-0.009439418595545312,0.6220652864969416,0.6227124783855288,-0.0006471918885871952,0.6258790417423216,0.5932392855587171,0.032639756183604485
333,Mwinilunga,2019,3.893043857,0.6895791084163316,0.6450237150591337,0.04455539335719794,0.6370050513897061,0.6227124783855288,0.0142925730041773,0.5657715605005005,0.5932392855587171,-0.027467725058216597
334,Mwinilunga,2020,2.93295659,0.5947191529117801,0.6450237150591337,-0.05030456214735357,0.562427831084179,0.6227124783855288,-0.06028464730134975,0.516788111350642,0.5932392855587171,-0.07645117420807512
335,Mwinilunga,2021,3.533443717,0.6564282283050462,0.6450237150591337,0.011404513245912518,0.659692764414601,0.6227124783855288,0.03698028602907222,0.5970212418374162,0.5932392855587171,0.00378195627869915
